"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1kPBHRXyXdrtYfUfeRwBko","I Wanna Sex You Up - Single Mix","spotify:artist:1QtIfAa6y7w2JhxYJhYeUG","Color Me Badd","spotify:album:17mrdLXkhmlY36jRm9cUbw","C.M.B.","1991-07-23","https://i.scdn.co/image/ab67616d0000b273ced0c7756302458ab6daa6d5","1","1","236946","https://p.scdn.co/mp3-preview/621ad25d996d7f4142eac6a00f07a882982d9b75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:erikkellogg","2016-07-30T03:23:34Z","boy band,new jack swing,r&b,urban contemporary","0.551","0.591","6","-8.404","0","0.12","0.00549","0.00000655","0.0416","0.474","201.81","4","","Giant","C © 1991 Giant Records, P ℗ 1991 Giant Records"
"spotify:track:60e1nB8fP9h4Yw44sIfeQx","Thong Song","spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg","Sisqo","spotify:album:6WTTIoyBv6hUNYNnGsmRbJ","Unleash The Dragon","1999-01-01","https://i.scdn.co/image/ab67616d0000b2739d002c061edb2ae1f908156b","1","8","253733","","true","0","spotify:user:erikkellogg","2016-07-30T03:23:42Z","dance pop,hip hop,hip pop,new jack swing,pop rap,r&b,urban contemporary","0.706","0.888","2","-6.959","1","0.0654","0.119","0.0000964","0.07","0.714","121.549","4","","Def Jam Recordings","C © 1999 The Island Def Jam Music Group, P ℗ 1999 UMG Recordings, Inc."
"spotify:track:2IHaGyfxNoFPLJnaEg4GTs","What Is Love - 7"" Mix","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","spotify:album:1LAx7yCVbGwskdnGDof8SC","The Album","1993-09-13","https://i.scdn.co/image/ab67616d0000b273fe2466bf2316d66cf3d3249c","1","1","270373","https://p.scdn.co/mp3-preview/659374a67e87fcdc8ea1d975f65d3321084f4ab6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:erikkellogg","2016-07-30T03:23:51Z","bubblegum dance,eurodance,europop,hip house","0.683","0.772","7","-7.907","0","0.0311","0.0222","0.0149","0.203","0.737","123.871","4","","Coconut Music","C 1993 BMG Ariola Media GmbH, P 1993 Coconut Records"
"spotify:track:11d9oUiwHuYt216EFA2tiz","Ice Ice Baby","spotify:artist:7GXXMm3DB1VswVcuGyInUd","Vanilla Ice","spotify:album:1LHacvoBTd7o2d7wwQ9EZD","To The Extreme","1990-01-01","https://i.scdn.co/image/ab67616d0000b2734bb0c02f38a183d19b410662","1","1","271466","https://p.scdn.co/mp3-preview/46ef9abd8e61d8d8b7f8dbb01df186ed1665ff72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:erikkellogg","2016-07-30T03:24:45Z","hip house,miami hip hop","0.98","0.535","2","-16.035","1","0.058","0.027","0.00000168","0.104","0.675","115.744","4","","SBK/EMI RECORDS","C © 1990 Capitol Records, LLC, P ℗ 1990 Capitol Records, LLC"
"spotify:track:4IYKjN1DrYzxKXt0umJqsG","I Got 5 On It","spotify:artist:3z3g65U7mmyyBmmDfsQK9x, spotify:artist:2FT75iYuWmycqYrXbVD9cn","Luniz, Michael Marshall","spotify:album:5pMShIZc6oWiEtcQvXsKfb","Operation Stackola","1995-01-01","https://i.scdn.co/image/ab67616d0000b273c1ea4aac1ad07a38c59dd30c","1","3","253533","https://p.scdn.co/mp3-preview/dbcd59ac3e1544f5c32065407ee81e9098ce744f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:erikkellogg","2016-07-30T03:25:21Z","g funk,gangster rap,hyphy,oakland hip hop,west coast rap","0.6","0.706","10","-7.899","0","0.361","0.209","0","0.125","0.58","173.926","4","","Virgin Records","C © 1995 Virgin Records America, Inc., P ℗ 1995 Virgin Records America, Inc."
"spotify:track:5Wvz9HaTgaQOk2HQa6Eisu","Shoop","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","spotify:album:4jhSdlhA4T0RG1CCBHCIV9","Very Necessary","1993-01-01","https://i.scdn.co/image/ab67616d0000b273a951b00d9dad910365ffdeaa","1","7","248573","","false","0","spotify:user:erikkellogg","2016-07-30T03:25:31Z","dance pop,girl group,hip hop,hip house,hip pop,old school hip hop,pop rap,queens hip hop,rap","0.939","0.671","0","-7.457","1","0.221","0.0948","0","0.0745","0.778","96.923","4","","Island Def Jam","C © 1993 The Island Def Jam Music Group, P ℗ 1993 The Island Def Jam Music Group"
"spotify:track:21qnJAMtzC6S5SESuqQLEK","Pump Up The Jam","spotify:artist:2Cd98zHVdZeOCisc6Gi2sB","Technotronic","spotify:album:1fqUZTGqbB0o0hIFhCbAg4","Pump Up The Jam","1989","https://i.scdn.co/image/ab67616d0000b27391f442ef24b8410ec1e68003","1","1","320306","https://p.scdn.co/mp3-preview/dbc2315c5ad865c806aa0dd105373655d8da1b34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:erikkellogg","2016-07-30T03:25:43Z","eurodance,europop,hip house,new beat","0.885","0.844","10","-9.225","0","0.0733","0.0147","0.00000449","0.0494","0.715","124.602","4","","Universal Music S.A.","C © 2009 ARS Entertainment Belgium (A Division Of Universal Music Belgium), P ℗ 2009 ARS Entertainment Belgium (A Division Of Universal Music Belgium)"
"spotify:track:6uP0XLqjRqFx8HAfesdcAg","X Gon' Give It To Ya","spotify:artist:1HwM5zlC5qNWhJtM00yXzG","DMX","spotify:album:5I7EYZ1edjUbfyY5WR3l9X","The Best Of DMX","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ac408154a4e66770780c49ad","1","8","219253","","true","0","spotify:user:erikkellogg","2016-07-30T03:25:51Z","east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop","0.501","0.851","10","-5.111","0","0.292","0.0295","0","0.0775","0.627","95.058","4","","Strategic Marketing","C © 2010 The Island Def Jam Music Group, P ℗ 2010 The Island Def Jam Music Group"
"spotify:track:4GFJRLgxy4chyfWqfPTJaI","It Wasn't Me","spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:67wCYxOq4A1ohAs7jWYaOJ","Shaggy, Rik Rok","spotify:album:4mIaYbWORRGvtHb0bSKAEB","Hot Shot","2000-01-01","https://i.scdn.co/image/ab67616d0000b2731422533d1db0164987363a99","1","10","227600","","false","0","spotify:user:erikkellogg","2016-07-30T03:26:13Z","dance pop,pop rap,reggae fusion,reggae fusion","0.849","0.613","0","-4.796","1","0.0715","0.0566","0","0.335","0.673","94.75","4","","Interscope","C © 2000 Geffen Records, P ℗ 2000 Geffen Records"
"spotify:track:4vO24keemHgi3JoCLIQAq9","Billie Jean","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:3ubQZz8WgIfvjSoekS5daO","The Essential Michael Jackson","2005-07-19","https://i.scdn.co/image/ab67616d0000b2732e01bd3a6ebc8c9bcc0b4e4c","1","15","292960","","false","0","spotify:user:erikkellogg","2016-07-30T03:26:46Z","pop,r&b,soul","0.92","0.564","11","-5.658","0","0.0415","0.016","0.0271","0.0451","0.821","117.154","4","","Epic/Legacy","P (P) 1972 Motown Records, a Division of UMG Recordings, Inc., 1976, 1978 Sony Music Entertainment, 1979, 1982, 1987, 1991, 1995, 2001, 2005 MJJ Productions Inc.,"
"spotify:track:2kulOHR2XY6YDZCWXb38hn","Wanna Be Startin' Somethin'","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","1982-11-30","https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be","1","1","362373","https://p.scdn.co/mp3-preview/d18b4563e3d177024867161d7be84baa844ecfc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:erikkellogg","2016-07-30T03:27:45Z","pop,r&b,soul","0.846","0.922","6","-4.206","0","0.0438","0.0219","0.355","0.0623","0.899","122.195","4","","Epic/Legacy","P (P) 1982, 2001, 2008 MJJ Productions Inc."
"spotify:track:1OOtq8tRnDM8kG2gqUPjAj","Beat It","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","1982-11-30","https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be","1","5","258040","https://p.scdn.co/mp3-preview/4901df6e0f8bf6ce93e08df7d98a50e220c45799?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:erikkellogg","2016-07-30T03:27:56Z","pop,r&b,soul","0.779","0.867","3","-3.704","0","0.0457","0.0491","0.00000798","0.197","0.915","138.858","4","","Epic/Legacy","P (P) 1982, 2001, 2008 MJJ Productions Inc."
"spotify:track:46eu3SBuFCXWsPT39Yg3tJ","Don't Stop 'Til You Get Enough","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:2ZytN2cY4Zjrr9ukb2rqTP","Off the Wall","1979-08-10","https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac","1","1","365466","https://p.scdn.co/mp3-preview/bcbf2c53e033e4df303f4a9c90c4eada0a70216f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:erikkellogg","2016-07-30T03:29:02Z","pop,r&b,soul","0.878","0.821","11","-9.875","1","0.089","0.126","0.0461","0.183","0.947","118.881","4","","Epic","P (P) 1979 MJJ Productions Inc."
"spotify:track:76HKOVWqsEg26SECtmw7Rz","The Way You Make Me Feel - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:3Us57CjssWnHjTUIXBuIeH","Bad (Remastered)","1987-08-31","https://i.scdn.co/image/ab67616d0000b27362e97ae5072de10850578af5","1","2","298120","https://p.scdn.co/mp3-preview/93f122101d44b96287fa0dea98f1b0f133a413b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:erikkellogg","2016-07-30T03:29:32Z","pop,r&b,soul","0.877","0.854","1","-4.523","1","0.147","0.0544","0.000055","0.144","0.54","114.472","4","","Epic/Legacy","P (P) 2012 MJJ Productions Inc."
"spotify:track:32OlwWuMpZ6b0aN2RZOeMS","Uptown Funk (feat. Bruno Mars)","spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Mark Ronson, Bruno Mars","spotify:album:3vLaOYCNCzngDf8QdBg2V1","Uptown Special","2015-01-12","https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2","1","4","269666","https://p.scdn.co/mp3-preview/860c242da8fb38c6d67f4ba267cca6c66801fc25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:erikkellogg","2016-07-30T03:30:33Z","dance pop,neo soul,pop,pop dance,pop","0.856","0.609","0","-7.223","1","0.0824","0.00801","0.0000815","0.0344","0.928","114.988","4","","Columbia","P Tracks 3, 4 & 6 (P) 2014, all other tracks (P) 2015 Mark Ronson under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:71NgHwSRgLEFgFpx3Xp6Pu","Cotton Eye Joe","spotify:artist:22Zqu1yyebVnbve8FxbJ2g","Rednex","spotify:album:4GH9vvJBWV7WQOjC2I910G","100 hits från 90-talet","2014-08-22","https://i.scdn.co/image/ab67616d0000b273715fcdd80c91d646488ae3ea","1","19","191253","","false","0","spotify:user:erikkellogg","2016-07-30T03:30:53Z","bubblegum dance,eurodance,europop,hip house,swedish country","0.73","0.964","9","-6.013","0","0.0627","0.0122","0.00192","0.0428","0.649","131.997","4","","RCA Records Label","P (P) 2014 Sony Music Entertainment Sweden AB"
"spotify:track:3fsghmcEnT7K9f30ohHDRn","In Da Club","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","spotify:album:5Qncr57Fwoyk1PDJfThIJC","Get Rich Or Die Tryin' / The Massacre (Explicit Version)","2009-11-03","https://i.scdn.co/image/ab67616d0000b2739b07289b4a2a5ace45ba355c","1","5","193466","","true","0","spotify:user:erikkellogg","2016-07-30T03:31:25Z","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","0.901","0.72","11","-2.826","0","0.36","0.262","0","0.0766","0.795","90.059","4","","Aftermath/Shady","C (C) 2009 Shady Records/Aftermath Records/Interscope Records, P (P) 2009 Shady Records/Aftermath Records/Interscope Records"
"spotify:track:2bCQHF9gdG5BNDVuEIEnNk","Smooth Criminal - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","1987-08-31","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","10","257760","https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:erikkellogg","2016-08-02T03:58:30Z","pop,r&b,soul","0.853","0.981","8","-3.947","1","0.0751","0.247","0.468","0.306","0.595","118.193","4","","Epic/Legacy","P (P) 1993 MJJ Productions Inc./(P) 2012 MJJ Productions Inc./(P) 2012 MJJ Productions Inc."
"spotify:track:541jTq3SOEELKvcfA0jHI0","The Way You Make Me Feel","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:3OBhnTLrvkoEEETjFA3Qfk","HIStory - PAST, PRESENT AND FUTURE - BOOK I","1995-06-16","https://i.scdn.co/image/ab67616d0000b273d0593178c6c2594693ee34b7","1","2","297400","https://p.scdn.co/mp3-preview/8fec5003c4fa58ebd75d3db2e4d55a41dc5dac26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:erikkellogg","2016-08-02T03:59:59Z","pop,r&b,soul","0.607","0.817","1","-5.926","1","0.11","0.037","0.000607","0.116","0.508","114.482","4","","Epic","P (P) 1979, 1982, 1987, 1988, 1991, 1995 MJJ Productions Inc."
"spotify:track:0gljI0CtjpdZK6ecidfxto","Wild Thing","spotify:artist:5Y8EphH8Vdqu5SLj6K5vjj","Tone-Loc","spotify:album:6xE6A0Vwd2LmopR6Mn8UFG","Loc-ed After Dark","1989-01-01","https://i.scdn.co/image/ab67616d0000b2737d02bf7ee36c4c913636a4f3","1","2","263573","https://p.scdn.co/mp3-preview/33f2dd0cb76e0dc438a1aee3115d99ddfcafd773?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:erikkellogg","2016-08-03T13:48:53Z","hip house,rap","0.943","0.685","7","-11.903","1","0.188","0.000507","0.00000856","0.0604","0.813","125.515","4","","Concord Records, Inc.","C © 1989 The Bicycle Music Company, P ℗ 1989 The Bicycle Music Company"
"spotify:track:6aJ90LBl96bly9zuEH1U2X","This Is How We Do It","spotify:artist:0iVrCROxeyon7MZUW3MfzT","Montell Jordan","spotify:album:6J9fX2iXc9W7ILQUWvEhAx","Best Of Montell Jordan","2015-09-25","https://i.scdn.co/image/ab67616d0000b273430debb283066ac6725483cf","1","1","237546","https://p.scdn.co/mp3-preview/3a6c32c59f4900eb0590682c19193c5046f94592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:erikkellogg","2016-11-12T22:56:39Z","hip hop,hip pop,new jack swing,pop rap,r&b,urban contemporary","0.791","0.702","1","-7.333","1","0.0623","0.0174","0","0.423","0.789","103.646","4","","Def Soul","C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P This Compilation ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:0PGwM5vdr5fMejx0IIAYXj","I Want You Back","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:2oJRp9GV4zpFzpnneGZqZH","20th Century Masters: The Millennium Collection: Best Of The Jackson 5","1999-01-01","https://i.scdn.co/image/ab67616d0000b273ea76a3da8040ff4dd01c4a86","1","1","180893","","false","0","spotify:user:erikkellogg","2016-11-12T22:56:44Z","adult standards,motown","0.674","0.584","8","-8.204","1","0.0318","0.466","0.00195","0.187","0.96","98.293","4","","Motown","C © 1999 Motown Record Company L.P., P This Compilation ℗ 1999 Universal Motown Records, a division of UMG Recordings, Inc."
"spotify:track:1x4397SCK9w2CUmz1OSPng","Whatta Man","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ, spotify:artist:5fikk4h5qbEebqK2Fc6e48","Salt-N-Pepa, En Vogue","spotify:album:4jhSdlhA4T0RG1CCBHCIV9","Very Necessary","1993-01-01","https://i.scdn.co/image/ab67616d0000b273a951b00d9dad910365ffdeaa","1","4","308360","","false","0","spotify:user:erikkellogg","2016-11-12T22:56:45Z","dance pop,girl group,hip hop,hip house,hip pop,old school hip hop,pop rap,queens hip hop,rap,dance pop,girl group,hip hop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary","0.754","0.551","2","-10.614","0","0.244","0.164","0.0000343","0.185","0.907","173.1","4","","Island Def Jam","C © 1993 The Island Def Jam Music Group, P ℗ 1993 The Island Def Jam Music Group"
"spotify:track:7jQBORjiir0pNSKGaHevq9","Mambo No. 5 (A Little Bit of...)","spotify:artist:46lnlnlU0dXTDpoAUmH6Qx","Lou Bega","spotify:album:41GaNTO6AagOC6CEoATrPF","A Little Bit Of Mambo","1999-08-24","https://i.scdn.co/image/ab67616d0000b27382c70ba8db99ec62b06ff5bd","1","1","220133","","false","0","spotify:user:erikkellogg","2016-11-12T22:56:49Z","latin pop","0.611","0.831","5","-5.394","0","0.394","0.0972","0","0.308","0.915","174.245","4","","RCA Records Label","P (P)1999 BMG Berlin Musik GmbH/Lautstark"
"spotify:track:3qI94hINNNeb4S7xQi18lS","Blame It on the Boogie","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","spotify:album:46yTC334aJI4QTv4lkzj3a","Destiny","1978-12-17","https://i.scdn.co/image/ab67616d0000b27386e5468d84ed66f06d9a799e","1","1","214200","https://p.scdn.co/mp3-preview/567ae408a0348bda4985ec1f8af83875d22c294e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:erikkellogg","2016-11-12T22:56:53Z","disco,funk,motown,quiet storm,soul","0.774","0.641","1","-10.193","1","0.0799","0.0765","0","0.0867","0.875","113.256","4","","Epic","P (P) 1978 Epic Records, a division of Sony Music Entertainment"
"spotify:track:0Q0IVlqMV64kNLlwjPj0Hl","Killing Me Softly With His Song","spotify:artist:2WKdxPFRD7IqZvlIAvhMgY, spotify:artist:2Mu5NfyYm8n5iTomuKAEHl","Fugees, Ms. Lauryn Hill","spotify:album:18XFe4CPBgVezXkxZP6rTb","The Score (Expanded Edition)","1996-02-13","https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137","1","8","298773","https://p.scdn.co/mp3-preview/2b3278b5ee8311d511cb95d51a35cb1b99e43b8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:erikkellogg","2016-11-12T22:56:56Z","east coast hip hop,gangster rap,hip hop,new jersey rap,rap,conscious hip hop,dance pop,hip pop,neo soul,new jersey rap,r&b,urban contemporary","0.765","0.29","4","-17.117","0","0.139","0.0279","0","0.571","0.506","92.409","4","","Columbia","P (P) 1996 Columbia Records, a division of Sony Music Entertainment"
